method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
GET	/networks/security-groups/{security_group_id}/bindings	listNetworkSecurityGroupBindings	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/security-groups/{security_group_id}/bindings	createNetworkSecurityGroupBinding	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/security-groups/{security_group_id}/bindings/{binding_id}	deleteNetworkSecurityGroupBinding	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/security-groups/{security_group_id}/rules	listNetworkSecurityGroupRules	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/security-groups/{security_group_id}/rules	createNetworkSecurityGroupRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/security-groups/{security_group_id}/rules/{rule_id}	getNetworkSecurityGroupRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/networks/security-groups/{security_group_id}/rules/{rule_id}	updateNetworkSecurityGroupRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/security-groups/{security_group_id}/rules/{rule_id}	deleteNetworkSecurityGroupRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/subnets	listNetworkSubnets	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/subnets	createNetworkSubnet	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/subnets/{subnet_id}	getNetworkSubnet	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/subnets/{subnet_id}	deleteNetworkSubnet	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/subnets/{subnet_id}/ip-allocations	listNetworkSubnetIPAllocations	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/vpcs	listNetworkVPCs	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/vpcs	createNetworkVPC	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/vpcs/{vpc_id}	getNetworkVPC	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/vpcs/{vpc_id}	deleteNetworkVPC	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/notifications/email/recipients	listEmailRecipients	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/notifications/email/recipients	createEmailRecipient	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PATCH	/notifications/email/recipients/{recipient_id}	updateEmailRecipient	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/notifications/email/recipients/{recipient_id}	deleteEmailRecipient	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/notifications/email/smtp	getEmailSmtpConfig	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/notifications/email/smtp	putEmailSmtpConfig	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/notifications/email/subscriptions	listEmailSubscriptions	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/notifications/email/subscriptions	putEmailSubscriptions	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/notifications/email/test	sendTestEmail	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/objects	listStorageObjects	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/objects	createStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/objects/upload	uploadStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/objects/{object_id}	getStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/objects/{object_id}	deleteStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/objects/{object_id}/complete	completeStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/objects/{object_id}/download	downloadStorageObject	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/observability/alert-rules	listObservabilityAlertRules	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/observability/alert-rules	createObservabilityAlertRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/observability/alert-rules/{rule_id}	getObservabilityAlertRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PATCH	/observability/alert-rules/{rule_id}	updateObservabilityAlertRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/observability/alert-rules/{rule_id}	deleteObservabilityAlertRule	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/observability/query	queryObservability	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/observability/query_range	queryRangeObservability	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/platform-workload-capabilities	getPlatformWorkloadCapabilities	explicit	legacy	[{"BearerAuth":[]}]					[]
POST	/platform-workloads	createPlatformWorkload	explicit	legacy	[{"BearerAuth":[]}]					[]
GET	/platform-workloads/{workload_id}	getPlatformWorkload	explicit	legacy	[{"BearerAuth":[]}]					[]
PATCH	/platform-workloads/{workload_id}	updatePlatformWorkload	explicit	legacy	[{"BearerAuth":[]}]					[]
DELETE	/platform-workloads/{workload_id}	deletePlatformWorkload	explicit	legacy	[{"BearerAuth":[]}]					[]
